iso_code	continent	location	date	total_cases	new_cases	new_cases_smoothed	total_deaths	new_deaths	new_deaths_smoothed	total_cases_per_million	new_cases_per_million	new_cases_smoothed_per_million	total_deaths_per_million	new_deaths_per_million	new_deaths_smoothed_per_million	reproduction_rate	icu_patients	icu_patients_per_million	hosp_patients	hosp_patients_per_million	weekly_icu_admissions	weekly_icu_admissions_per_million	weekly_hosp_admissions	weekly_hosp_admissions_per_million	new_tests	total_tests	total_tests_per_thousand	new_tests_per_thousand	new_tests_smoothed	new_tests_smoothed_per_thousand	positive_rate	tests_per_case	tests_units	total_vaccinations	people_vaccinated	people_fully_vaccinated	new_vaccinations	new_vaccinations_smoothed	total_vaccinations_per_hundred	people_vaccinated_per_hundred	people_fully_vaccinated_per_hundred	new_vaccinations_smoothed_per_million	stringency_index	population	population_density	median_age	aged_65_older	aged_70_older	gdp_per_capita	extreme_poverty	cardiovasc_death_rate	diabetes_prevalence	female_smokers	male_smokers	handwashing_facilities	hospital_beds_per_thousand	life_expectancy	human_development_index	excess_mortality
MWI	Africa	Malawi	2021-07-24	48066.0	801.0	717.571	1458.0	19.0	19.0	2512.604	41.872	37.51	76.216	0.993	0.993																													19129955.0	197.519	18.1	2.979	1.783	1095.042	71.4	227.349	3.94	4.4	24.7	8.704	1.3	64.26	0.483	
MYS	Asia	Malaysia	2021-07-24	996393.0	15902.0	12934.571	7902.0	184.0	148.0	30785.178	491.318	399.635	244.145	5.685	4.573																			16904896.0	11507070.0	5397826.0	417738.0	414653.0	52.23	35.55	16.68	12811.0		32365998.0	96.254	29.9	6.293	3.407	26808.164	0.1	260.942	16.74	1.0	42.4		1.9	76.16	0.81	
MDV	Asia	Maldives	2021-07-24	76627.0	81.0	115.857	219.0	1.0	0.429	141759.567	149.85	214.335	405.149	1.85	0.793																													540542.0	1454.433	30.6	4.12	2.875	15183.616		164.905	9.19	2.1	55.0	95.803		78.92	0.74	
MLI	Africa	Mali	2021-07-24	14540.0	8.0	4.429	530.0	0.0	0.0	717.995	0.395	0.219	26.172	0.0	0.0																													20250834.0	15.196	16.4	2.519	1.486	2014.306		268.024	2.42	1.6	23.0	52.232	0.1	59.31	0.434	
MLT	Europe	Malta	2021-07-24	33541.0	171.0	180.857	421.0	1.0	0.143	75963.845	387.282	409.606	953.483	2.265	0.324																													441539.0	1454.037	42.4	19.426	11.324	36513.323	0.2	168.711	8.83	20.9	30.2		4.485	82.53	0.895	
MHL	Oceania	Marshall Islands	2021-07-24	4.0	0.0	0.0			0.0	67.574	0.0	0.0			0.0																													59194.0	295.15				3819.202		557.793	30.53			82.502	2.7	73.7	0.704	
MRT	Africa	Mauritania	2021-07-24	23555.0	332.0	149.571	528.0	11.0	2.857	5065.962	71.403	32.168	113.557	2.366	0.614																			190950.0	176294.0	14656.0		727.0	4.11	3.79	0.32	156.0		4649660.0	4.289	20.3	3.138	1.792	3597.633	6.0	232.347	2.42			15.95		64.92	0.546	
MUS	Africa	Mauritius	2021-07-24	3388.0	0.0	146.286	19.0	0.0	0.143	2664.01	0.0	115.026	14.94	0.0	0.112																			1095494.0	613134.0	482360.0		13487.0	86.14	48.21	37.93	10605.0		1271767.0	622.962	37.4	10.945	5.884	20292.745	0.5	224.644	22.02	3.2	40.7		3.4	74.99	0.804	
MEX	North America	Mexico	2021-07-24	2741983.0	32244.0	12469.143	238316.0	690.0	296.571	21266.768	250.084	96.71	1848.374	5.352	2.3																													128932753.0	66.444	29.3	6.857	4.321	17336.469	2.5	152.783	13.06	6.9	21.4	87.847	1.38	75.05	0.779	
FSM	Oceania	Micronesia (country)	2021-07-24	1.0	0.0	0.0			0.0	8.694	0.0	0.0			0.0																													115021.0	150.777	23.0	4.81	2.392	3299.464	16.0	454.343	12.02					67.88	0.62	
MDA	Europe	Moldova	2021-07-24	258581.0	97.0	96.857	6242.0	2.0	2.571	64100.985	24.046	24.01	1547.362	0.496	0.637																			951807.0	514771.0	437036.0		12830.0	23.59	12.76	10.83	3180.0		4033963.0	123.655	37.6	10.864	6.955	5189.972	0.2	408.502	5.72	5.9	44.6	86.979	5.8	71.9	0.75	
MCO	Europe	Monaco	2021-07-24	2779.0	22.0	14.143	33.0	0.0	0.0	70813.373	560.595	360.383	840.893	0.0	0.0																													39244.0	19347.5							5.46				13.8	86.75		
MNG	Asia	Mongolia	2021-07-24	155224.0	1442.0	1138.714	767.0	6.0	4.714	47349.046	439.863	347.35	233.963	1.83	1.438																													3278292.0	1.98	28.6	4.031	2.421	11840.846	0.5	460.043	4.82	5.5	46.5	71.18	7.0	69.87	0.737	
MNE	Europe	Montenegro	2021-07-24	101061.0	196.0	62.714	1624.0	0.0	0.143	160909.273	312.071	99.854	2585.732	0.0	0.227																			315653.0	167235.0	148418.0	1799.0	1216.0	50.26	26.63	23.63	1936.0		628062.0	46.28	39.1	14.762	9.395	16409.288	1.0	387.305	10.08	44.0	47.9		3.861	76.88	0.829	
MAR	Africa	Morocco	2021-07-24	575162.0	5494.0	2810.571	9559.0	23.0	17.857	15582.588	148.846	76.145	258.977	0.623	0.484																			21522436.0	11728171.0	9794265.0		98410.0	58.31	31.77	26.54	2666.0		36910558.0	80.08	29.6	6.769	4.209	7485.013	1.0	419.146	7.14	0.8	47.1		1.1	76.68	0.686	
MOZ	Africa	Mozambique	2021-07-24	108760.0	2894.0	1515.429	1257.0	36.0	22.571	3479.715	92.592	48.485	40.217	1.152	0.722																			671599.0	372085.0	299514.0		3367.0	2.15	1.19	0.96	108.0		31255435.0	37.728	17.7	3.158	1.87	1136.103	62.9	329.942	3.3	5.1	29.1	12.227	0.7	60.85	0.456	
MMR	Asia	Myanmar	2021-07-24	264527.0	5657.0	5755.857	6756.0	297.0	283.857	4861.753	103.97	105.787	124.169	5.459	5.217																													54409794.0	81.721	29.1	5.732	3.12	5591.597	6.4	202.104	4.61	6.3	35.2	79.287	0.9	67.13	0.583	
NAM	Africa	Namibia	2021-07-24	115793.0	784.0	625.143	2760.0	46.0	41.857	45571.361	308.55	246.031	1086.222	18.104	16.473																													2540916.0	3.078	22.0	3.552	2.085	9541.808	13.4	243.811	3.94	9.7	34.2	44.6		63.71	0.646	
NPL	Asia	Nepal	2021-07-24	679017.0	2309.0	1875.857	9695.0	16.0	24.0	23304.44	79.247	64.381	332.741	0.549	0.824																			4743274.0	3377228.0	1366046.0	81311.0	100508.0	16.28	11.59	4.69	3450.0		29136808.0	204.43	25.0	5.809	3.212	2442.804	15.0	260.797	7.26	9.5	37.8	47.782	0.3	70.78	0.602	
NLD	Europe	Netherlands	2021-07-24	1867907.0	5390.0	7316.857	18082.0	4.0	3.143	109012.013	314.563	427.016	1055.275	0.233	0.183																			19294110.0	11751723.0	8298549.0		86074.0	112.6	68.58	48.43	5023.0		17134873.0	508.544	43.2	18.779	11.881	48472.545		109.361	5.29	24.4	27.3		3.32	82.28	0.944	
NZL	Oceania	New Zealand	2021-07-24	2863.0	7.0	6.857	26.0	0.0	0.0	593.708	1.452	1.422	5.392	0.0	0.0																													4822233.0	18.206	37.9	15.322	9.72	36085.843		128.797	8.08	14.8	17.2		2.61	82.29	0.931	
NIC	North America	Nicaragua	2021-07-24	9108.0	0.0	48.714	194.0	0.0	0.143	1374.885	0.0	7.354	29.285	0.0	0.022																													6624554.0	51.667	27.3	5.445	3.519	5321.444	3.2	137.016	11.47				0.9	74.48	0.66	
NER	Africa	Niger	2021-07-24	5598.0	4.0	3.571	195.0	0.0	0.143	231.259	0.165	0.148	8.056	0.0	0.006																													24206636.0	16.955	15.1	2.553	1.378	926.0	44.5	238.339	2.42	0.1	15.4	8.978	0.3	62.42	0.394	
